Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Visibility_Safe,Sales_per_Visibility,MRP_Tier,Item_Category
FDF09,13.1,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,39,0.012090074,40090.93740865441,Low,Food
FDY40,12.85,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,39,0.15028599,983.5088420417632,Medium,Food
FDY45,13.15,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,39,0.026015519,97763.03136600889,Very High,Snacks
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,184.4266,26,0.195068226,945.4466459340231,Very High,Snacks
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,20,0.033082215,147078.01155394223,Very High,Food
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.544,22,0.078946455,14168.387928248332,Very High,Food
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,22,0.041700756,55210.9031308689,Very High,Drinks
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,27,0.143422643,14135.571326767422,Medium,Non-Food
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,27,0.105296072,32627.313960961426,Very High,Snacks
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,37,0.121531501,4930.573514433925,Medium,Snacks
FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,2002,Small,Tier 2,Supermarket Type1,4604.6728,22,0.001,4604672.8,Very High,Food
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Small,Tier 2,Supermarket Type1,2285.0256,17,0.011324862,201770.72356378383,Very High,Food
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,25,0.186357148,29946.453140611487,Very High,Non-Food
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,27,0.024205661,94620.51046653921,High,Food
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,25,0.033230816,36324.57896911108,Very High,Snacks
FDN48,11.65,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,39,0.113720344,5655.652958629812,Medium,Snacks
FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933,17,0.112556507,14107.873834428781,High,Food
FDV25,5.905,Low Fat,0.0,Canned,222.5456,OUT045,2002,Small,Tier 2,Supermarket Type1,5305.0944,22,0.001,5305094.399999999,Very High,Food
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,27,0.059352241,28605.322585881804,High,Snacks
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,27,0.014087057,101332.3932741949,Very High,Food
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,15,0.045230944,103776.07860671668,Very High,Snacks
NCL18,13.15,Low Fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,39,0.293417759,1987.7488056201807,Very High,Non-Food
FDR12,11.65,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,39,0.031382044,98526.89009039692,Very High,Snacks
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Small,Tier 2,Supermarket Type1,2479.4392,17,0.12639886,19615.993372092118,Very High,Food
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,20,0.025403898,106930.99145650797,Very High,Food
FDQ49,10.695,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,39,0.039057677,84124.89559990985,Very High,Food
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,27,0.123115764,5375.470845471908,Medium,Snacks
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,25,0.039624006,38445.13853546257,High,Food
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Small,Tier 3,Grocery Store,369.519,26,0.040421193,9141.714347718535,High,Food
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,25,0.105274111,6558.446264153207,Low,Food
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535,22,0.033970195,40669.03354543593,Medium,Drinks
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,20,0.053212652,11698.777952280972,Medium,Food
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,20,0.024378706,52272.71701787618,High,Non-Food
FDU04,12.85,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,39,0.009714595,50168.39096225833,High,Food
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,25,0.131383762,9375.055039145554,Very High,Food
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,20,0.07461309,50327.79100825337,Very High,Food
NCP18,13.15,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,39,0.028459761,153327.12035072956,High,Non-Food
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,27,0.074627201,17611.39614495256,Very High,Food
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,1805.6496,22,0.063695084,28348.33532835909,Very High,Food
FDD10,13.15,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,39,0.045797829,62338.11650766241,Very High,Snacks
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,25,0.115857223,33629.85491202391,Very High,Snacks
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,37,0.024832806,26891.74151322247,Low,Drinks
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,15,0.034027909,93624.70670766164,Very High,Snacks
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,37,0.0467696,48059.86794841093,High,Food
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,37,0.116576702,15391.849050593315,Very High,Snacks
FDG12,6.635,Regular,0.0,Baking Goods,121.3098,OUT045,2002,Small,Tier 2,Supermarket Type1,2530.7058,22,0.001,2530705.8000000003,High,Snacks
DRE60,11.8,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116,39,0.278974075,2434.3337279637904,Very High,Drinks
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,37,0.035913805,22617.375129146018,Low,Drinks
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,27,0.079806266,8759.838481855548,Very High,Food
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,2732.4432,17,0.005505481,496313.2558263302,High,Food
FDW39,12.35,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,39,0.064625342,2730.1518961400625,Very High,Food
FDX34,13.15,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,39,0.071636937,57195.81785022439,High,Snacks
FDV11,9.1,Regular,0.0,Breads,173.2054,OUT045,2002,Small,Tier 2,Supermarket Type1,3151.8972,22,0.001,3151897.1999999997,Very High,Food
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,25,0.032677678,181844.7748949604,Very High,Food
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Small,Tier 2,Supermarket Type1,4843.695,17,0.160760054,30129.966241489314,Very High,Food
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,20,0.06911065,36781.948947087025,High,Snacks
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,2552.6772,17,0.041177505,61992.031814457914,High,Drinks
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,15,0.040081193,28488.348637726427,Very High,Snacks
NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,2007,Small,Tier 2,Supermarket Type1,680.4476,17,0.035307322,19272.138509966855,Low,Non-Food
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Small,Tier 2,Supermarket Type1,2085.9514,22,0.063017847,33100.962652691065,Very High,Drinks
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Small,Tier 3,Grocery Store,186.424,26,0.171938781,1084.2463748768812,Medium,Food
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,20,0.040197932,75527.46743290177,Very High,Food
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716,17,0.049058014,17670.33618605107,Medium,Food
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869,20,0.01161096,74831.79685400691,Medium,Food
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,27,0.183507295,6196.954731418171,Medium,Drinks
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,928.1252,17,0.102349519,9068.193080614281,Medium,Food
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,37,0.086708987,8791.949097502431,Very High,Drinks
NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,2002,Small,Tier 2,Supermarket Type1,707.0796,22,0.032835147,21534.229769094683,Low,Non-Food
FDY25,12.15,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,39,0.033809913,235679.234075521,Very High,Food
NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,27,0.07266912,19790.084151287367,Very High,Non-Food
NCR53,12.15,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,39,0.144338493,48332.58443400819,Very High,Non-Food
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Small,Tier 3,Grocery Store,101.2016,26,0.009163216,11044.332033644083,High,Food
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094,15,0.011307038,84203.66147173115,Very High,Food
NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,27,0.076855628,25625.142247227493,High,Non-Food
FDH35,13.175,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,39,0.059956876,87771.13737546965,Very High,Food
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Small,Tier 2,Supermarket Type1,1314.2892,22,0.038532062,34108.97657125123,Medium,Food
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Small,Tier 2,Supermarket Type1,535.3032,17,0.043209581,12388.530219721408,Medium,Food
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998,Small,Tier 3,Grocery Store,263.6568,26,0.056816465,4640.499897344898,High,Non-Food
NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,20,0.019866705,70579.13227180854,Very High,Non-Food
NCX54,9.195,Low Fat,0.048331717,Household,105.1622,OUT017,2007,Small,Tier 2,Supermarket Type1,1693.7952,17,0.048331717,35045.2105808697,High,Non-Food
NCO55,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,2002,Small,Tier 2,Supermarket Type1,2143.876,22,0.091221855,23501.780357349675,High,Non-Food
NCC30,16.6,Low Fat,0.027622076,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516,25,0.027622076,96897.71326384014,Very High,Non-Food
FDI16,14.0,Regular,0.0,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,20,0.001,905488.0,Medium,Food
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,25,0.039355947,187275.5342413689,Very High,Food
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,20,0.060836524,103574.80647645154,Very High,Food
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,20,0.082316506,19411.90263833599,Very High,Non-Food
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,20,0.155350299,3407.2094061434673,Very High,Snacks
NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,20,0.076841095,25629.988744954768,High,Non-Food
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Small,Tier 2,Supermarket Type1,1034.6532,17,0.151419185,6833.0390234236165,Medium,Drinks
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331,15,0.026001976,69007.48620027954,Very High,Food
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,15,0.073209447,37814.74267931569,Very High,Food
DRK12,11.8,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83,39,0.041683481,21563.218292637317,Low,Drinks
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,27,0.042560252,74464.03277875329,Very High,Food
NCI18,18.35,Low Fat,0.014081156,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,15,0.014081156,254950.2043724251,Very High,Non-Food
FDB36,5.465,Regular,0.0,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,15,0.001,262325.2,High,Snacks
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,Small,Tier 2,Supermarket Type1,1910.1802,17,0.152918384,12491.501348850248,Medium,Food
